,confirmed,country,date,datetime,deaths,file_date,province,recovered
0,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Anhui,0
1,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Jilin,0
2,14,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Beijing,0
3,6,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Chongqing,0
4,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Fujian,0
5,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Gansu,0
6,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Guangxi,0
7,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Guizhou,0
8,4,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hainan,0
9,26,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Guangdong,0
10,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Heilongjiang,0
11,5,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Henan,0
12,0,Hong Kong,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hong Kong,0
13,444,China,2020-01-22,2020-01-22 17:00:00,17,2020-01-22,Hubei,28
14,4,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hunan,0
15,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Inner Mongolia,0
16,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Jiangxi,0
17,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Tibet,0
18,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Liaoning,0
19,4,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Tianjin,0
20,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Ningxia,0
21,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Qinghai,0
22,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shaanxi,0
23,2,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shandong,0
24,9,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shanghai,0
25,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Shanxi,0
26,5,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Sichuan,0
27,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Hebei,0
28,1,Macau,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Macau,0
29,1,America,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Washington,0
30,0,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Xinjiang,0
31,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Yunnan,0
32,10,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Zhejiang,0
33,2,Japan,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Japan,0
34,2,Thailand,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Thailand,0
35,1,South Korea,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,South Korea,0
36,1,Taiwan,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Taiwan,0
37,1,China,2020-01-22,2020-01-22 17:00:00,0,2020-01-22,Jiangsu,0
38,16,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shanghai,0
39,9,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Anhui,0
40,0,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Qinghai,0
41,9,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Chongqing,0
42,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Fujian,0
43,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Gansu,0
44,32,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Guangdong,2
45,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Guangxi,0
46,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Guizhou,0
47,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Hainan,0
48,1,China,2020-01-23,2020-01-23 17:00:00,1,2020-01-23,Hebei,0
49,22,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Beijing,0
50,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Henan,0
51,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Heilongjiang,0
52,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Liaoning,0
53,1,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Jilin,0
54,7,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Jiangxi,0
55,2,Macau,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Macau,0
56,0,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Inner Mongolia,0
57,9,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Hunan,0
58,1,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Ningxia,0
59,444,China,2020-01-23,2020-01-23 17:00:00,17,2020-01-23,Hubei,28
60,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shaanxi,0
61,1,Japan,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Japan,0
62,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Xinjiang,0
63,1,America,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Washington,0
64,0,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Tibet,0
65,1,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shanxi,0
66,1,Taiwan,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Taiwan,0
67,8,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Sichuan,0
68,2,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Yunnan,0
69,4,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Tianjin,0
70,27,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Zhejiang,0
71,2,Hong Kong,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Hong Kong,0
72,0,Mexico,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Mexico,0
73,1,South Korea,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,South Korea,0
74,1,Singapore,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Singapore,0
75,0,Philippines,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Philippines,0
76,0,Malaysia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Malaysia,0
77,2,Vietnam,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Vietnam,0
78,0,Australia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Australia,0
79,0,Brazil,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Brazil,0
80,0,Colombia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Colombia,0
81,6,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shandong,0
82,3,Thailand,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Thailand,0
83,5,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Jiangsu,0
84,3,Taiwan,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Taiwan,0
85,4,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Liaoning,0
86,549,China,2020-01-24,2020-01-24 17:00:00,24,2020-01-24,Hubei,31
87,53,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guangdong,2
88,43,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Zhejiang,1
89,36,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Beijing,1
90,27,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Chongqing,0
91,23,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guangxi,0
92,20,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shanghai,1
93,18,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jiangxi,0
94,24,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hunan,0
95,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shandong,0
96,5,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shaanxi,0
97,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Sichuan,0
98,8,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Tianjin,0
99,8,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hainan,0
100,5,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Yunnan,0
101,9,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Henan,0
102,4,China,2020-01-24,2020-01-24 17:00:00,1,2020-01-24,Heilongjiang,0
103,10,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Fujian,0
104,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Anhui,0
105,0,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Qinghai,0
106,1,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shanxi,0
107,2,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Ningxia,0
108,2,Hong Kong,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hong Kong,0
109,2,Macau,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Macau,0
110,2,China,2020-01-24,2020-01-24 17:00:00,1,2020-01-24,Hebei,0
111,2,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Gansu,0
112,2,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Xinjiang,0
113,1,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Inner Mongolia,0
114,5,Thailand,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Thailand,0
115,1,America,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Washington,0
116,1,America,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Chicago,0
117,2,Japan,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Japan,0
118,2,South Korea,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,South Korea,0
119,3,Singapore,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Singapore,0
120,2,Vietnam,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Vietnam,0
121,2,France,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,France,0
122,3,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jilin,0
123,3,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guizhou,0
124,9,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jiangsu,0
125,2,Macau,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Macau,0
126,761,China,2020-01-25,2020-01-25 17:00:00,40,2020-01-25,Hubei,32
127,78,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Guangdong,2
