,confirmed,country,date,datetime,deaths,file_date,province,recovered
61,3,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shaanxi,0
75,1,South Korea,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,South Korea,0
76,1,Singapore,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Singapore,0
77,0,Philippines,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Philippines,0
78,0,Malaysia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Malaysia,0
79,2,Vietnam,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Vietnam,0
80,0,Australia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Australia,0
82,0,Brazil,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Brazil,0
83,0,Colombia,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Colombia,0
62,6,China,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Shandong,0
74,3,Thailand,2020-01-23,2020-01-23 17:00:00,0,2020-01-23,Thailand,0
90,23,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guangxi,0
88,27,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Chongqing,0
87,36,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Beijing,1
104,4,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Liaoning,0
85,53,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guangdong,2
84,549,China,2020-01-24,2020-01-24 17:00:00,24,2020-01-24,Hubei,31
91,20,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shanghai,1
86,43,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Zhejiang,1
92,18,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jiangxi,0
98,9,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jiangsu,0
94,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shandong,0
102,5,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shaanxi,0
93,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Sichuan,0
99,8,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hainan,0
101,5,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Yunnan,0
97,9,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Henan,0
96,10,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Fujian,0
103,4,China,2020-01-24,2020-01-24 17:00:00,1,2020-01-24,Heilongjiang,0
89,24,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hunan,0
100,8,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Tianjin,0
105,3,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Guizhou,0
116,0,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Qinghai,0
95,15,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Anhui,0
107,3,Taiwan,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Taiwan,0
114,1,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Shanxi,0
108,2,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Ningxia,0
109,2,Hong Kong,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Hong Kong,0
111,2,China,2020-01-24,2020-01-24 17:00:00,1,2020-01-24,Hebei,0
112,2,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Gansu,0
113,2,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Xinjiang,0
115,1,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Inner Mongolia,0
110,2,Macau,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Macau,0
117,1,America,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Washington,0
120,5,Thailand,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Thailand,0
124,2,France,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,France,0
123,2,Vietnam,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Vietnam,0
122,3,Singapore,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Singapore,0
106,3,China,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Jilin,0
119,2,Japan,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Japan,0
118,1,America,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,Chicago,0
121,2,South Korea,2020-01-24,2020-01-24 17:00:00,0,2020-01-24,South Korea,0
134,28,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Sichuan,0
125,761,China,2020-01-25,2020-01-25 17:00:00,40,2020-01-25,Hubei,32
126,78,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Guangdong,2
127,62,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Zhejiang,1
128,57,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Chongqing,0
129,43,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Hunan,0
131,39,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Anhui,0
132,33,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Shanghai,1
133,32,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Henan,0
130,41,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Beijing,2
144,10,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Tianjin,0
137,19,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Hainan,0
138,18,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Jiangxi,0
139,18,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Fujian,0
140,18,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Jiangsu,1
141,17,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Liaoning,0
142,15,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Shaanxi,0
143,11,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Yunnan,0
135,27,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Shandong,0
146,8,China,2020-01-25,2020-01-25 17:00:00,1,2020-01-25,Hebei,0
136,23,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Guangxi,0
145,9,China,2020-01-25,2020-01-25 17:00:00,1,2020-01-25,Heilongjiang,0
148,6,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Shanxi,0
147,7,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Inner Mongolia,0
156,2,Macau,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Macau,0
149,5,Hong Kong,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Hong Kong,0
150,4,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Guizhou,0
151,4,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Jilin,0
152,4,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Gansu,0
154,3,Taiwan,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Taiwan,0
155,3,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Xinjiang,0
157,1,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Qinghai,0
167,1,Nepal,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Nepal,0
153,3,China,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Ningxia,0
160,2,Japan,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Japan,0
159,1,America,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Illinois,0
168,3,Malaysia,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Malaysia,0
166,4,Australia,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Australia,0
165,3,France,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,France,0
158,1,America,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Washington,0
163,3,Singapore,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Singapore,0
162,2,South Korea,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,South Korea,0
161,7,Thailand,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Thailand,0
164,2,Vietnam,2020-01-25,2020-01-25 17:00:00,0,2020-01-25,Vietnam,0
179,40,China,2020-01-26,2020-01-26 16:00:00,1,2020-01-26,Shanghai,1
170,111,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Guangdong,2
171,104,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Zhejiang,1
192,8,Hong Kong,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Hong Kong,0
173,75,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Chongqing,0
174,69,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Hunan,0
176,60,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Anhui,0
177,46,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Shandong,0
178,44,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Sichuan,0
175,68,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Beijing,2
185,22,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Shaanxi,0
180,36,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Guangxi,0
189,14,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Tianjin,0
188,15,China,2020-01-26,2020-01-26 16:00:00,1,2020-01-26,Heilongjiang,0
187,16,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Yunnan,0
186,21,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Liaoning,0
190,13,China,2020-01-26,2020-01-26 16:00:00,1,2020-01-26,Hebei,0
184,22,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Hainan,0
183,33,China,2020-01-26,2020-01-26 16:00:00,0,2020-01-26,Jiangsu,1
