,confirmed,country,deaths,datetime,province,recovered,date
56,0,Mainland China,0,2020-01-23 17:00:00,Inner Mongolia,0,2020-01-23
57,9,Mainland China,0,2020-01-23 17:00:00,Hunan,0,2020-01-23
58,1,Mainland China,0,2020-01-23 17:00:00,Ningxia,0,2020-01-23
49,22,Mainland China,0,2020-01-23 17:00:00,Beijing,0,2020-01-23
112,2,Mainland China,0,2020-01-24 17:00:00,Xinjiang,0,2020-01-24
111,2,Mainland China,0,2020-01-24 17:00:00,Gansu,0,2020-01-24
110,2,Mainland China,1,2020-01-24 17:00:00,Hebei,0,2020-01-24
106,1,Mainland China,0,2020-01-24 17:00:00,Shanxi,0,2020-01-24
108,2,Hong Kong,0,2020-01-24 17:00:00,Hong Kong,0,2020-01-24
107,2,Mainland China,0,2020-01-24 17:00:00,Ningxia,0,2020-01-24
113,1,Mainland China,0,2020-01-24 17:00:00,Inner Mongolia,0,2020-01-24
109,2,Macau,0,2020-01-24 17:00:00,Macau,0,2020-01-24
114,5,Thailand,0,2020-01-24 17:00:00,Thailand,0,2020-01-24
124,9,Mainland China,0,2020-01-24 17:00:00,Jiangsu,0,2020-01-24
116,1,US,0,2020-01-24 17:00:00,Chicago,0,2020-01-24
117,2,Japan,0,2020-01-24 17:00:00,Japan,0,2020-01-24
118,2,South Korea,0,2020-01-24 17:00:00,South Korea,0,2020-01-24
120,2,Vietnam,0,2020-01-24 17:00:00,Vietnam,0,2020-01-24
121,2,France,0,2020-01-24 17:00:00,France,0,2020-01-24
122,3,Mainland China,0,2020-01-24 17:00:00,Jilin,0,2020-01-24
123,3,Mainland China,0,2020-01-24 17:00:00,Guizhou,0,2020-01-24
105,0,Mainland China,0,2020-01-24 17:00:00,Qinghai,0,2020-01-24
115,1,US,0,2020-01-24 17:00:00,Washington,0,2020-01-24
119,3,Singapore ,0,2020-01-24 17:00:00,Singapore ,0,2020-01-24
103,10,Mainland China,0,2020-01-24 17:00:00,Fujian,0,2020-01-24
102,4,Mainland China,1,2020-01-24 17:00:00,Heilongjiang,0,2020-01-24
104,15,Mainland China,0,2020-01-24 17:00:00,Anhui,0,2020-01-24
84,3,Taiwan,0,2020-01-24 17:00:00,Taiwan,0,2020-01-24
85,4,Mainland China,0,2020-01-24 17:00:00,Liaoning,0,2020-01-24
86,549,Mainland China,24,2020-01-24 17:00:00,Hubei,31,2020-01-24
87,53,Mainland China,0,2020-01-24 17:00:00,Guangdong,2,2020-01-24
89,36,Mainland China,0,2020-01-24 17:00:00,Beijing,1,2020-01-24
90,27,Mainland China,0,2020-01-24 17:00:00,Chongqing,0,2020-01-24
91,23,Mainland China,0,2020-01-24 17:00:00,Guangxi,0,2020-01-24
92,20,Mainland China,0,2020-01-24 17:00:00,Shanghai,1,2020-01-24
88,43,Mainland China,0,2020-01-24 17:00:00,Zhejiang,1,2020-01-24
94,24,Mainland China,0,2020-01-24 17:00:00,Hunan,0,2020-01-24
93,18,Mainland China,0,2020-01-24 17:00:00,Jiangxi,0,2020-01-24
100,5,Mainland China,0,2020-01-24 17:00:00,Yunnan,0,2020-01-24
99,8,Mainland China,0,2020-01-24 17:00:00,Hainan,0,2020-01-24
98,8,Mainland China,0,2020-01-24 17:00:00,Tianjin,0,2020-01-24
101,9,Mainland China,0,2020-01-24 17:00:00,Henan,0,2020-01-24
96,5,Mainland China,0,2020-01-24 17:00:00,Shaanxi,0,2020-01-24
95,15,Mainland China,0,2020-01-24 17:00:00,Shandong,0,2020-01-24
97,15,Mainland China,0,2020-01-24 17:00:00,Sichuan,0,2020-01-24
157,1,US,0,2020-01-25 17:00:00,Illinois,0,2020-01-25
149,4,Mainland China,0,2020-01-25 17:00:00,Guizhou,0,2020-01-25
150,4,Mainland China,0,2020-01-25 17:00:00,Jilin,0,2020-01-25
151,4,Mainland China,0,2020-01-25 17:00:00,Gansu,0,2020-01-25
152,3,Mainland China,0,2020-01-25 17:00:00,Ningxia,0,2020-01-25
153,3,Taiwan,0,2020-01-25 17:00:00,Taiwan,0,2020-01-25
154,3,Mainland China,0,2020-01-25 17:00:00,Xinjiang,0,2020-01-25
155,1,Mainland China,0,2020-01-25 17:00:00,Qinghai,0,2020-01-25
156,1,Nepal,0,2020-01-25 17:00:00,Nepal,0,2020-01-25
158,2,Japan,0,2020-01-25 17:00:00,Japan,0,2020-01-25
168,10,Mainland China,0,2020-01-25 17:00:00,Tianjin,0,2020-01-25
160,2,South Korea,0,2020-01-25 17:00:00,South Korea,0,2020-01-25
161,3,Singapore ,0,2020-01-25 17:00:00,Singapore ,0,2020-01-25
162,2,Vietnam,0,2020-01-25 17:00:00,Vietnam,0,2020-01-25
163,3,France,0,2020-01-25 17:00:00,France,0,2020-01-25
164,4,Australia,0,2020-01-25 17:00:00,Australia,0,2020-01-25
165,3,Malaysia ,0,2020-01-25 17:00:00,Malaysia ,0,2020-01-25
166,1,US,0,2020-01-25 17:00:00,Washington,0,2020-01-25
167,27,Mainland China,0,2020-01-25 17:00:00,Shandong,0,2020-01-25
148,5,Hong Kong,0,2020-01-25 17:00:00,Hong Kong,0,2020-01-25
159,7,Thailand,0,2020-01-25 17:00:00,Thailand,0,2020-01-25
147,7,Mainland China,0,2020-01-25 17:00:00,Inner Mongolia,0,2020-01-25
146,6,Mainland China,0,2020-01-25 17:00:00,Shanxi,0,2020-01-25
145,9,Mainland China,1,2020-01-25 17:00:00,Heilongjiang,0,2020-01-25
125,2,Macau,0,2020-01-25 17:00:00,Macau,0,2020-01-25
126,761,Mainland China,40,2020-01-25 17:00:00,Hubei,32,2020-01-25
127,78,Mainland China,0,2020-01-25 17:00:00,Guangdong,2,2020-01-25
128,62,Mainland China,0,2020-01-25 17:00:00,Zhejiang,1,2020-01-25
129,57,Mainland China,0,2020-01-25 17:00:00,Chongqing,0,2020-01-25
131,39,Mainland China,0,2020-01-25 17:00:00,Anhui,0,2020-01-25
132,33,Mainland China,0,2020-01-25 17:00:00,Shanghai,1,2020-01-25
133,32,Mainland China,0,2020-01-25 17:00:00,Henan,0,2020-01-25
134,8,Mainland China,1,2020-01-25 17:00:00,Hebei,0,2020-01-25
130,43,Mainland China,0,2020-01-25 17:00:00,Hunan,0,2020-01-25
136,23,Mainland China,0,2020-01-25 17:00:00,Guangxi,0,2020-01-25
135,28,Mainland China,0,2020-01-25 17:00:00,Sichuan,0,2020-01-25
143,11,Mainland China,0,2020-01-25 17:00:00,Yunnan,0,2020-01-25
142,15,Mainland China,0,2020-01-25 17:00:00,Shaanxi,0,2020-01-25
141,17,Mainland China,0,2020-01-25 17:00:00,Liaoning,0,2020-01-25
144,41,Mainland China,0,2020-01-25 17:00:00,Beijing,2,2020-01-25
139,18,Mainland China,0,2020-01-25 17:00:00,Fujian,0,2020-01-25
138,18,Mainland China,0,2020-01-25 17:00:00,Jiangxi,0,2020-01-25
137,19,Mainland China,0,2020-01-25 17:00:00,Hainan,0,2020-01-25
140,18,Mainland China,0,2020-01-25 17:00:00,Jiangsu,1,2020-01-25
203,7,Mainland China,0,2020-01-26 16:00:00,Inner Mongolia,0,2020-01-26
195,4,Mainland China,0,2020-01-26 16:00:00,Xinjiang,0,2020-01-26
196,4,Taiwan,0,2020-01-26 16:00:00,Taiwan,0,2020-01-26
197,5,Mainland China,0,2020-01-26 16:00:00,Guizhou,0,2020-01-26
198,4,Mainland China,0,2020-01-26 16:00:00,Ningxia,0,2020-01-26
199,5,Macau,0,2020-01-26 16:00:00,Macau,0,2020-01-26
200,1,US,0,2020-01-26 16:00:00,Illinois,0,2020-01-26
201,4,Mainland China,0,2020-01-26 16:00:00,Jilin,0,2020-01-26
202,2,US,0,2020-01-26 16:00:00,California,0,2020-01-26
204,1,Canada,0,2020-01-26 16:00:00,Ontario,0,2020-01-26
215,22,Mainland China,0,2020-01-26 16:00:00,Shaanxi,0,2020-01-26
206,3,South Korea,0,2020-01-26 16:00:00,South Korea,0,2020-01-26
207,4,Singapore ,0,2020-01-26 16:00:00,Singapore ,0,2020-01-26
208,2,Vietnam,0,2020-01-26 16:00:00,Vietnam,0,2020-01-26
209,3,France,0,2020-01-26 16:00:00,France,0,2020-01-26
210,4,Australia,0,2020-01-26 16:00:00,Australia,0,2020-01-26
211,1,Nepal,0,2020-01-26 16:00:00,Nepal,0,2020-01-26
212,4,Malaysia ,0,2020-01-26 16:00:00,Malaysia ,0,2020-01-26
213,7,Mainland China,0,2020-01-26 16:00:00,Gansu,0,2020-01-26
214,4,Japan,0,2020-01-26 16:00:00,Japan,1,2020-01-26
193,1,US,0,2020-01-26 16:00:00,Arizona,0,2020-01-26
205,8,Thailand,0,2020-01-26 16:00:00,Thailand,2,2020-01-26
192,83,Mainland China,1,2020-01-26 16:00:00,Henan,0,2020-01-26
194,1,Mainland China,0,2020-01-26 16:00:00,Qinghai,0,2020-01-26
190,68,Mainland China,0,2020-01-26 16:00:00,Beijing,2,2020-01-26
191,35,Mainland China,0,2020-01-26 16:00:00,Fujian,0,2020-01-26
169,1,US,0,2020-01-26 16:00:00,Washington,0,2020-01-26
170,1058,Mainland China,52,2020-01-26 16:00:00,Hubei,42,2020-01-26
171,111,Mainland China,0,2020-01-26 16:00:00,Guangdong,2,2020-01-26
172,104,Mainland China,0,2020-01-26 16:00:00,Zhejiang,1,2020-01-26
173,8,Hong Kong,0,2020-01-26 16:00:00,Hong Kong,0,2020-01-26
174,75,Mainland China,0,2020-01-26 16:00:00,Chongqing,0,2020-01-26
176,60,Mainland China,0,2020-01-26 16:00:00,Anhui,0,2020-01-26
177,46,Mainland China,0,2020-01-26 16:00:00,Shandong,0,2020-01-26
178,44,Mainland China,0,2020-01-26 16:00:00,Sichuan,0,2020-01-26
179,9,Mainland China,0,2020-01-26 16:00:00,Shanxi,0,2020-01-26
175,69,Mainland China,0,2020-01-26 16:00:00,Hunan,0,2020-01-26
181,36,Mainland China,0,2020-01-26 16:00:00,Jiangxi,0,2020-01-26
182,36,Mainland China,0,2020-01-26 16:00:00,Guangxi,0,2020-01-26
183,14,Mainland China,0,2020-01-26 16:00:00,Tianjin,0,2020-01-26
184,15,Mainland China,1,2020-01-26 16:00:00,Heilongjiang,0,2020-01-26
185,16,Mainland China,0,2020-01-26 16:00:00,Yunnan,0,2020-01-26
186,21,Mainland China,0,2020-01-26 16:00:00,Liaoning,0,2020-01-26
187,13,Mainland China,1,2020-01-26 16:00:00,Hebei,0,2020-01-26
188,22,Mainland China,0,2020-01-26 16:00:00,Hainan,0,2020-01-26
189,33,Mainland China,0,2020-01-26 16:00:00,Jiangsu,1,2020-01-26
180,40,Mainland China,1,2020-01-26 16:00:00,Shanghai,1,2020-01-26
252,8,Thailand,0,2020-01-27 23:59:00,Thailand,2,2020-01-27
251,1,US,0,2020-01-27 23:59:00,Arizona,0,2020-01-27
250,2,US,0,2020-01-27 23:59:00,California,0,2020-01-27
249,1,US,0,2020-01-27 23:59:00,Illinois,0,2020-01-27
244,6,Macau,0,2020-01-27 23:59:00,Macau,0,2020-01-27
247,5,Mainland China,0,2020-01-27 23:59:00,Xinjiang,0,2020-01-27
246,5,Taiwan,0,2020-01-27 23:59:00,Taiwan,0,2020-01-27
245,6,Mainland China,0,2020-01-27 23:59:00,Qinghai,0,2020-01-27
253,8,Hong Kong,0,2020-01-27 23:59:00,Hong Kong,0,2020-01-27
248,1,US,0,2020-01-27 23:59:00,Washington,0,2020-01-27
254,1,Australia,0,2020-01-27 23:59:00,Victoria,0,2020-01-27
266,27,Mainland China,0,2020-01-27 23:59:00,Liaoning,0,2020-01-27
256,3,France,0,2020-01-27 23:59:00,France,0,2020-01-27
257,1,Nepal,0,2020-01-27 23:59:00,Nepal,0,2020-01-27
258,4,Malaysia ,0,2020-01-27 23:59:00,Malaysia ,0,2020-01-27
259,1,Canada,0,2020-01-27 23:59:00,Ontario,0,2020-01-27
260,1,Cambodia,0,2020-01-27 23:59:00,Cambodia,0,2020-01-27
261,1,Sri Lanka,0,2020-01-27 23:59:00,Sri Lanka,0,2020-01-27
262,1,Ivory Coast,0,2020-01-27 23:59:00,Ivory Coast,0,2020-01-27
263,4,Australia,0,2020-01-27 23:59:00,New South Wales,0,2020-01-27
264,7,Mainland China,0,2020-01-27 23:59:00,Ningxia,0,2020-01-27
265,5,Singapore ,0,2020-01-27 23:59:00,Singapore ,0,2020-01-27
243,6,Mainland China,0,2020-01-27 23:59:00,Jilin,0,2020-01-27
255,2,Vietnam,0,2020-01-27 23:59:00,Vietnam,0,2020-01-27
242,4,South Korea,0,2020-01-27 23:59:00,South Korea,0,2020-01-27
220,128,Mainland China,0,2020-01-27 23:59:00,Zhejiang,1,2020-01-27
240,46,Mainland China,0,2020-01-27 23:59:00,Guangxi,0,2020-01-27
241,7,Mainland China,0,2020-01-27 23:59:00,Guizhou,0,2020-01-27
216,4,Japan,0,2020-01-27 23:59:00,Japan,1,2020-01-27
217,11,Mainland China,0,2020-01-27 23:59:00,Inner Mongolia,0,2020-01-27
218,1423,Mainland China,76,2020-01-27 23:59:00,Hubei,45,2020-01-27
219,151,Mainland China,0,2020-01-27 23:59:00,Guangdong,4,2020-01-27
221,128,Mainland China,1,2020-01-27 23:59:00,Henan,0,2020-01-27
223,100,Mainland China,0,2020-01-27 23:59:00,Hunan,0,2020-01-27
224,75,Mainland China,0,2020-01-27 23:59:00,Shandong,0,2020-01-27
225,72,Mainland China,0,2020-01-27 23:59:00,Jiangxi,2,2020-01-27
226,70,Mainland China,0,2020-01-27 23:59:00,Anhui,0,2020-01-27
227,80,Mainland China,1,2020-01-27 23:59:00,Beijing,2,2020-01-27
222,110,Mainland China,0,2020-01-27 23:59:00,Chongqing,0,2020-01-27
229,47,Mainland China,0,2020-01-27 23:59:00,Jiangsu,1,2020-01-27
239,69,Mainland China,0,2020-01-27 23:59:00,Sichuan,0,2020-01-27
228,59,Mainland China,0,2020-01-27 23:59:00,Fujian,0,2020-01-27
237,33,Mainland China,1,2020-01-27 23:59:00,Hainan,0,2020-01-27
236,23,Mainland China,0,2020-01-27 23:59:00,Tianjin,0,2020-01-27
235,26,Mainland China,0,2020-01-27 23:59:00,Yunnan,0,2020-01-27
238,35,Mainland China,0,2020-01-27 23:59:00,Shaanxi,0,2020-01-27
233,21,Mainland China,1,2020-01-27 23:59:00,Heilongjiang,0,2020-01-27
232,18,Mainland China,1,2020-01-27 23:59:00,Hebei,0,2020-01-27
231,14,Mainland China,0,2020-01-27 23:59:00,Gansu,0,2020-01-27
230,13,Mainland China,0,2020-01-27 23:59:00,Shanxi,0,2020-01-27
234,53,Mainland China,1,2020-01-27 23:59:00,Shanghai,3,2020-01-27
295,2,US,0,2020-01-28 23:00:00,California,0,2020-01-28
304,14,Thailand,0,2020-01-28 23:00:00,Thailand,5,2020-01-28
303,7,Macau,0,2020-01-28 23:00:00,Macau,0,2020-01-28
302,7,Japan,0,2020-01-28 23:00:00,Japan,1,2020-01-28
301,8,Mainland China,0,2020-01-28 23:00:00,Jilin,0,2020-01-28
298,9,Mainland China,0,2020-01-28 23:00:00,Guizhou,0,2020-01-28
299,8,Hong Kong,0,2020-01-28 23:00:00,Hong Kong,0,2020-01-28
297,6,Mainland China,0,2020-01-28 23:00:00,Qinghai,0,2020-01-28
296,1,US,0,2020-01-28 23:00:00,Illinois,0,2020-01-28
305,1,Australia,0,2020-01-28 23:00:00,Victoria,0,2020-01-28
300,8,Taiwan,0,2020-01-28 23:00:00,Taiwan,0,2020-01-28
306,7,Singapore ,0,2020-01-28 23:00:00,Singapore ,0,2020-01-28
318,34,Mainland China,0,2020-01-28 23:00:00,Liaoning,0,2020-01-28
308,4,France,0,2020-01-28 23:00:00,France,0,2020-01-28
309,1,Nepal,0,2020-01-28 23:00:00,Nepal,0,2020-01-28
310,4,Malaysia ,0,2020-01-28 23:00:00,Malaysia ,0,2020-01-28
311,1,Canada,0,2020-01-28 23:00:00,Ontario,0,2020-01-28
312,1,Canada,0,2020-01-28 23:00:00,British Columbia,0,2020-01-28
313,1,Cambodia,0,2020-01-28 23:00:00,Cambodia,0,2020-01-28
314,1,Sri Lanka,0,2020-01-28 23:00:00,Sri Lanka,0,2020-01-28
315,4,Australia,0,2020-01-28 23:00:00,New South Wales,0,2020-01-28
316,4,Germany,0,2020-01-28 23:00:00,Bavaria,0,2020-01-28
317,51,Mainland China,0,2020-01-28 23:00:00,Guangxi,2,2020-01-28
294,1,US,0,2020-01-28 23:00:00,Washington,0,2020-01-28
307,2,Vietnam,0,2020-01-28 23:00:00,Vietnam,0,2020-01-28
293,4,South Korea,0,2020-01-28 23:00:00,South Korea,0,2020-01-28
292,10,Mainland China,0,2020-01-28 23:00:00,Xinjiang,0,2020-01-28
291,207,Mainland China,0,2020-01-28 23:00:00,Guangdong,4,2020-01-28
267,1,US,0,2020-01-28 23:00:00,Arizona,0,2020-01-28
268,11,Mainland China,0,2020-01-28 23:00:00,Ningxia,0,2020-01-28
269,3554,Mainland China,125,2020-01-28 23:00:00,Hubei,80,2020-01-28
270,173,Mainland China,0,2020-01-28 23:00:00,Zhejiang,3,2020-01-28
271,168,Mainland China,1,2020-01-28 23:00:00,Henan,0,2020-01-28
272,143,Mainland China,0,2020-01-28 23:00:00,Hunan,0,2020-01-28
274,106,Mainland China,0,2020-01-28 23:00:00,Anhui,0,2020-01-28
275,95,Mainland China,0,2020-01-28 23:00:00,Shandong,0,2020-01-28
276,91,Mainland China,1,2020-01-28 23:00:00,Beijing,4,2020-01-28
277,90,Mainland China,0,2020-01-28 23:00:00,Sichuan,0,2020-01-28
278,15,Mainland China,0,2020-01-28 23:00:00,Inner Mongolia,0,2020-01-28
273,132,Mainland China,0,2020-01-28 23:00:00,Chongqing,0,2020-01-28
280,66,Mainland China,1,2020-01-28 23:00:00,Shanghai,4,2020-01-28
279,80,Mainland China,0,2020-01-28 23:00:00,Fujian,0,2020-01-28
289,46,Mainland China,0,2020-01-28 23:00:00,Shaanxi,0,2020-01-28
288,44,Mainland China,0,2020-01-28 23:00:00,Yunnan,0,2020-01-28
287,40,Mainland China,1,2020-01-28 23:00:00,Hainan,0,2020-01-28
286,33,Mainland China,1,2020-01-28 23:00:00,Heilongjiang,0,2020-01-28
290,109,Mainland China,0,2020-01-28 23:00:00,Jiangxi,3,2020-01-28
284,27,Mainland China,0,2020-01-28 23:00:00,Shanxi,0,2020-01-28
283,24,Mainland China,0,2020-01-28 23:00:00,Tianjin,0,2020-01-28
282,70,Mainland China,0,2020-01-28 23:00:00,Jiangsu,1,2020-01-28
281,19,Mainland China,0,2020-01-28 23:00:00,Gansu,0,2020-01-28
285,33,Mainland China,1,2020-01-28 23:00:00,Hebei,0,2020-01-28
359,4,United Arab Emirates,0,2020-01-29 19:30:00,United Arab Emirates,0,2020-01-29
358,56,Mainland China,0,2020-01-29 19:30:00,Shaanxi,0,2020-01-29
357,2,Vietnam,0,2020-01-29 19:30:00,Vietnam,0,2020-01-29
356,1,US,0,2020-01-29 19:30:00,Washington,0,2020-01-29
355,7,Singapore ,0,2020-01-29 19:30:00,Singapore ,0,2020-01-29
352,6,Mainland China,0,2020-01-29 19:30:00,Qinghai,0,2020-01-29
353,7,Macau,0,2020-01-29 19:30:00,Macau,0,2020-01-29
351,9,Mainland China,0,2020-01-29 19:30:00,Jilin,0,2020-01-29
350,1,US,0,2020-01-29 19:30:00,Illinois,0,2020-01-29
349,7,Japan,0,2020-01-29 19:30:00,Japan,1,2020-01-29
354,8,Taiwan,0,2020-01-29 19:30:00,Taiwan,0,2020-01-29
360,7,Malaysia ,0,2020-01-29 19:30:00,Malaysia ,0,2020-01-29
372,43,Mainland China,1,2020-01-29 19:30:00,Hainan,0,2020-01-29
362,1,Canada,0,2020-01-29 19:30:00,British Columbia,0,2020-01-29
363,1,Cambodia,0,2020-01-29 19:30:00,Cambodia,0,2020-01-29
364,1,Sri Lanka,0,2020-01-29 19:30:00,Sri Lanka,0,2020-01-29
365,4,Australia,0,2020-01-29 19:30:00,New South Wales,0,2020-01-29
366,1,Australia,0,2020-01-29 19:30:00,Victoria,0,2020-01-29
367,4,Germany,0,2020-01-29 19:30:00,Bavaria,0,2020-01-29
368,1,Finland,0,2020-01-29 19:30:00,Finland,0,2020-01-29
369,9,Mainland China,0,2020-01-29 19:30:00,Guizhou,1,2020-01-29
370,5,France,0,2020-01-29 19:30:00,France,0,2020-01-29
371,1,Nepal,0,2020-01-29 19:30:00,Nepal,0,2020-01-29
348,14,Thailand,0,2020-01-29 19:30:00,Thailand,5,2020-01-29
361,1,Canada,0,2020-01-29 19:30:00,Ontario,0,2020-01-29
346,10,Hong Kong,0,2020-01-29 19:30:00,Hong Kong,0,2020-01-29
347,2,US,0,2020-01-29 19:30:00,California,0,2020-01-29
344,13,Mainland China,0,2020-01-29 19:30:00,Xinjiang,0,2020-01-29
345,1,US,0,2020-01-29 19:30:00,Arizona,0,2020-01-29
319,4,South Korea,0,2020-01-29 19:30:00,South Korea,0,2020-01-29
320,296,Mainland China,0,2020-01-29 19:30:00,Zhejiang,3,2020-01-29
321,277,Mainland China,0,2020-01-29 19:30:00,Guangdong,5,2020-01-29
322,221,Mainland China,0,2020-01-29 19:30:00,Hunan,0,2020-01-29
